,Number of Frames
h1,219
h10_short,178
h11_short,166
h12_short,100
h13_short,171
h14_short,148
h15_short,142
h16_short,145
h17_short,144
h18_short,144
h19_short,141
h1_try,219
h2,300
h20_short,140
h21_short,143
h22_short,130
h23_short,56
h24,48
h25_short,40
h3,370
h4,282
h5_short,180
h6,191
h7,273
h7_short,180
h8_short,180
h9_short,180
ref,171
theta1_bounce,105
theta1_pass,116
theta2_bounce,141
theta2_pass,160
theta3_bounce,67
theta3_pass,75
theta5_bounce1,109
theta5_bounce2,121
theta5_pass3,112
theta5_pass4,132
theta5_pass5,46
theta5_pass6,108
theta6_bounce,106
theta6_pass,122
