image,x,y,r1,r2
0.jpg,871.0,401.0,10.0,13.0
1.jpg,871.0,401.0,10.0,13.0
2.jpg,871.0,401.0,10.0,13.0
3.jpg,871.0,401.0,10.0,13.0
4.jpg,871.0,401.0,10.0,13.0
5.jpg,871.0,402.0,10.0,12.0
6.jpg,871.0,402.0,10.0,12.0
7.jpg,870.0,404.0,10.0,11.0
8.jpg,870.0,404.0,10.0,11.0
9.jpg,870.0,404.0,10.0,11.0
10.jpg,870.0,405.0,10.0,10.0
11.jpg,870.0,406.0,10.0,10.0
12.jpg,869.0,407.0,11.0,9.0
13.jpg,869.0,407.0,11.0,9.0
14.jpg,869.0,408.0,11.0,9.0
15.jpg,869.0,408.0,11.0,10.0
16.jpg,869.0,409.0,11.0,10.0
17.jpg,870.0,410.0,10.0,10.0
18.jpg,870.0,411.0,10.0,10.0
19.jpg,870.0,411.0,10.0,11.0
20.jpg,870.0,412.0,10.0,11.0
21.jpg,870.0,413.0,10.0,11.0
22.jpg,870.0,415.0,10.0,11.0
23.jpg,869.0,417.0,10.0,10.0
24.jpg,869.0,419.0,11.0,9.0
25.jpg,869.0,421.0,11.0,9.0
26.jpg,869.0,423.0,11.0,9.0
27.jpg,869.0,424.0,11.0,9.0
28.jpg,869.0,426.0,11.0,10.0
29.jpg,869.0,428.0,10.0,10.0
30.jpg,869.0,430.0,10.0,10.0
31.jpg,870.0,431.0,10.0,11.0
32.jpg,869.0,434.0,10.0,10.0
33.jpg,869.0,435.0,10.0,11.0
34.jpg,869.0,438.0,10.0,11.0
35.jpg,869.0,441.0,10.0,10.0
36.jpg,868.0,444.0,10.0,9.0
37.jpg,868.0,447.0,11.0,9.0
38.jpg,868.0,450.0,11.0,9.0
39.jpg,868.0,453.0,11.0,9.0
40.jpg,868.0,455.0,11.0,9.0
41.jpg,868.0,459.0,11.0,9.0
42.jpg,869.0,462.0,10.0,10.0
43.jpg,869.0,465.0,10.0,10.0
44.jpg,869.0,467.0,10.0,11.0
45.jpg,869.0,470.0,10.0,10.0
46.jpg,869.0,474.0,10.0,10.0
47.jpg,867.0,477.0,10.0,9.0
48.jpg,868.0,482.0,10.0,10.0
49.jpg,867.0,486.0,10.0,9.0
50.jpg,867.0,491.0,11.0,9.0
51.jpg,866.0,494.0,11.0,8.0
52.jpg,867.0,497.0,10.0,8.0
53.jpg,867.0,501.0,10.0,8.0
54.jpg,868.0,505.0,10.0,10.0
55.jpg,867.0,509.0,10.0,9.0
56.jpg,868.0,514.0,10.0,10.0
57.jpg,868.0,518.0,10.0,10.0
58.jpg,868.0,523.0,10.0,10.0
59.jpg,866.0,526.0,10.0,9.0
60.jpg,866.0,531.0,10.0,9.0
61.jpg,866.0,536.0,10.0,9.0
62.jpg,866.0,542.0,10.0,9.0
