image_path,x,y,Radius
Images/0.jpg,872,401,11
Images/1.jpg,872,401,11
Images/2.jpg,872,401,11
Images/3.jpg,872,401,11
Images/4.jpg,872,401,11
Images/5.jpg,872,401,11
Images/6.jpg,872,402,11
Images/7.jpg,872,404,11
Images/8.jpg,872,404,11
Images/9.jpg,871,404,10
Images/10.jpg,871,405,10
Images/11.jpg,870,406,10
Images/12.jpg,870,406,10
Images/13.jpg,870,407,10
Images/14.jpg,870,408,10
Images/15.jpg,870,408,10
Images/16.jpg,870,409,10
Images/17.jpg,871,410,11
Images/18.jpg,871,411,10
Images/19.jpg,871,411,10
Images/20.jpg,871,412,10
Images/21.jpg,871,414,11
Images/22.jpg,870,415,10
Images/23.jpg,870,417,10
Images/24.jpg,870,419,10
Images/25.jpg,870,421,10
Images/26.jpg,870,422,10
Images/27.jpg,870,424,10
Images/28.jpg,870,426,10
Images/29.jpg,870,427,10
Images/30.jpg,870,430,10
Images/31.jpg,871,432,11
Images/32.jpg,871,434,11
Images/33.jpg,870,435,10
Images/34.jpg,870,438,10
Images/35.jpg,870,441,10
Images/36.jpg,869,444,10
Images/37.jpg,869,447,10
Images/38.jpg,869,450,10
Images/39.jpg,869,453,10
Images/40.jpg,869,455,10
Images/41.jpg,869,458,10
Images/42.jpg,869,461,10
Images/43.jpg,869,464,10
Images/44.jpg,869,467,10
Images/45.jpg,869,470,10
Images/46.jpg,870,474,11
Images/47.jpg,869,477,10
Images/48.jpg,869,482,10
Images/49.jpg,868,486,10
Images/50.jpg,868,490,10
Images/51.jpg,868,494,10
Images/52.jpg,868,497,10
Images/53.jpg,868,501,10
Images/54.jpg,868,505,10
Images/55.jpg,869,509,10
Images/56.jpg,869,513,10
Images/57.jpg,868,517,10
Images/58.jpg,868,522,10
Images/59.jpg,868,526,10
Images/60.jpg,868,532,10
Images/61.jpg,868,537,10
Images/62.jpg,867,542,10
Images/63.jpg,867,548,10
Images/107.jpg,965,610,10
Images/108.jpg,971,607,10
Images/109.jpg,976,603,10
Images/110.jpg,981,601,10
Images/111.jpg,986,598,10
Images/112.jpg,991,596,10
Images/113.jpg,995,594,10
Images/114.jpg,1000,592,10
Images/115.jpg,1004,591,10
Images/116.jpg,1009,589,10
Images/117.jpg,1013,587,9
Images/118.jpg,1018,586,10
Images/119.jpg,1023,584,10
Images/120.jpg,1028,583,10
Images/121.jpg,1033,581,10
Images/122.jpg,1037,579,10
Images/123.jpg,1042,578,10
Images/124.jpg,1047,576,10
Images/125.jpg,1052,575,10
Images/126.jpg,1056,574,9
Images/127.jpg,1060,573,9
Images/128.jpg,1065,573,9
Images/129.jpg,1070,573,10
Images/130.jpg,1075,573,10
Images/131.jpg,1079,572,10
Images/132.jpg,1084,571,10
Images/133.jpg,1089,571,10
Images/134.jpg,1094,570,10
Images/135.jpg,1098,570,10
Images/136.jpg,1103,569,10
Images/137.jpg,1107,568,9
Images/138.jpg,1112,568,9
Images/139.jpg,1116,569,9
Images/140.jpg,1121,570,9
Images/141.jpg,1125,570,9
Images/142.jpg,1129,571,9
Images/143.jpg,1134,571,9
Images/144.jpg,1139,572,9
Images/145.jpg,1143,572,9
Images/146.jpg,1148,573,9
Images/147.jpg,1153,573,9
Images/148.jpg,1157,574,9
Images/149.jpg,1162,575,9
Images/150.jpg,1167,576,9
Images/151.jpg,1172,577,9
Images/152.jpg,1176,579,9
Images/153.jpg,1180,581,9
Images/154.jpg,1188,585,12
