image_path,x,y,Radius
Images/0.jpg,171,51,11
Images/1.jpg,871,401,11
Images/2.jpg,871,401,11
Images/3.jpg,871,401,11
Images/4.jpg,871,401,11
Images/5.jpg,871,401,11
Images/6.jpg,871,402,11
Images/7.jpg,871,404,11
Images/8.jpg,871,404,11
Images/9.jpg,870,404,10
Images/10.jpg,870,405,10
Images/11.jpg,869,406,10
Images/12.jpg,869,406,10
Images/13.jpg,869,407,10
Images/14.jpg,869,408,10
Images/15.jpg,869,408,10
Images/16.jpg,869,409,10
Images/17.jpg,870,410,11
Images/18.jpg,870,411,10
Images/19.jpg,870,411,10
Images/20.jpg,870,412,10
Images/21.jpg,870,414,11
Images/22.jpg,869,415,10
Images/23.jpg,869,417,10
Images/24.jpg,869,419,10
Images/25.jpg,869,421,10
Images/26.jpg,869,422,10
Images/27.jpg,869,424,10
Images/28.jpg,869,426,10
Images/29.jpg,869,427,10
Images/30.jpg,869,430,10
Images/31.jpg,870,432,11
Images/32.jpg,870,434,11
Images/33.jpg,869,435,10
Images/34.jpg,869,438,10
Images/35.jpg,869,441,10
Images/36.jpg,868,444,10
Images/37.jpg,868,447,10
Images/38.jpg,868,450,10
Images/39.jpg,868,453,10
Images/40.jpg,868,455,10
Images/41.jpg,868,458,10
Images/42.jpg,868,461,10
Images/43.jpg,868,464,10
Images/44.jpg,868,467,10
Images/45.jpg,868,470,10
Images/46.jpg,869,474,11
Images/47.jpg,868,477,10
Images/48.jpg,868,482,10
Images/49.jpg,867,486,10
Images/50.jpg,867,490,10
Images/51.jpg,867,494,10
Images/52.jpg,867,497,10
Images/53.jpg,867,501,10
Images/54.jpg,867,505,10
Images/55.jpg,868,509,10
Images/56.jpg,868,513,10
Images/57.jpg,867,517,10
Images/58.jpg,867,522,10
Images/59.jpg,867,526,10
Images/60.jpg,867,532,10
Images/61.jpg,867,537,10
Images/62.jpg,866,542,10
Images/63.jpg,866,548,10
Images/64.jpg,866,552,10
Images/65.jpg,866,557,10
Images/66.jpg,865,561,9
Images/67.jpg,864,564,8
Images/68.jpg,863,568,6
Images/69.jpg,865,568,1
Images/76.jpg,863,610,6
Images/77.jpg,865,614,7
Images/78.jpg,868,618,8
Images/79.jpg,870,622,9
Images/80.jpg,872,625,9
Images/81.jpg,873,628,9
Images/82.jpg,874,631,9
Images/83.jpg,874,633,8
Images/84.jpg,875,635,7
Images/85.jpg,876,637,6
Images/86.jpg,879,639,7
Images/87.jpg,880,638,5
Images/88.jpg,884,638,6
Images/89.jpg,888,639,7
Images/90.jpg,890,639,6
Images/91.jpg,894,639,6
Images/92.jpg,897,639,6
Images/93.jpg,899,638,5
Images/94.jpg,901,636,4
Images/95.jpg,905,636,5
Images/96.jpg,908,634,4
Images/97.jpg,913,633,5
Images/98.jpg,917,631,4
Images/99.jpg,920,628,3
Images/107.jpg,964,610,10
Images/108.jpg,970,607,10
Images/109.jpg,975,603,10
Images/110.jpg,980,601,10
Images/111.jpg,985,598,10
Images/112.jpg,990,596,10
Images/113.jpg,994,594,10
Images/114.jpg,999,592,10
Images/115.jpg,1003,591,10
Images/116.jpg,1008,589,10
Images/117.jpg,1012,587,9
Images/118.jpg,1017,586,10
Images/119.jpg,1022,584,10
Images/120.jpg,1027,583,10
Images/121.jpg,1032,581,10
Images/122.jpg,1036,579,10
Images/123.jpg,1041,578,10
Images/124.jpg,1046,576,10
Images/125.jpg,1051,575,10
Images/126.jpg,1055,574,9
Images/127.jpg,1059,573,9
Images/128.jpg,1064,573,9
Images/129.jpg,1069,573,10
Images/130.jpg,1074,573,10
Images/131.jpg,1078,572,10
Images/132.jpg,1083,571,10
Images/133.jpg,1088,571,10
Images/134.jpg,1093,570,10
Images/135.jpg,1097,570,10
Images/136.jpg,1102,569,10
Images/137.jpg,1106,568,9
Images/138.jpg,1111,568,9
Images/139.jpg,1115,569,9
Images/140.jpg,1120,570,9
Images/141.jpg,1124,570,9
Images/142.jpg,1128,571,9
Images/143.jpg,1133,571,9
Images/144.jpg,1138,572,9
Images/145.jpg,1142,572,9
Images/146.jpg,1147,573,9
Images/147.jpg,1152,573,9
Images/148.jpg,1156,574,9
Images/149.jpg,1161,575,9
Images/150.jpg,1166,576,9
Images/151.jpg,1171,577,9
Images/152.jpg,1175,579,9
Images/153.jpg,1179,581,9
Images/154.jpg,1187,585,12
