image,x,y,r1,r2,theta
106.jpg,961.0,612.0,11.0,9.0,0.67
107.jpg,965.0,609.0,10.0,9.0,0.55
108.jpg,969.0,605.0,9.0,8.0,-0.4
109.jpg,974.0,602.0,8.0,10.0,0.92
110.jpg,980.0,602.0,9.0,11.0,0.5
111.jpg,984.0,598.0,8.0,10.0,0.6
112.jpg,987.0,595.0,10.0,6.0,2.02
113.jpg,995.0,596.0,11.0,10.0,1.19
114.jpg,999.0,593.0,9.0,11.0,-0.7
115.jpg,1002.0,589.0,8.0,8.0,0.48
116.jpg,1005.0,587.0,8.0,7.0,-0.73
117.jpg,1012.0,586.0,9.0,8.0,0.1
118.jpg,1016.0,584.0,8.0,8.0,1.71
119.jpg,1022.0,584.0,10.0,9.0,0.57
120.jpg,1026.0,582.0,9.0,9.0,-0.2
121.jpg,1031.0,581.0,9.0,10.0,0.79
122.jpg,1036.0,580.0,10.0,9.0,2.2
123.jpg,1041.0,578.0,9.0,11.0,0.56
124.jpg,1046.0,578.0,9.0,11.0,0.29
125.jpg,1051.0,576.0,11.0,9.0,1.77
126.jpg,1055.0,575.0,11.0,9.0,1.4
127.jpg,1060.0,575.0,11.0,9.0,0.95
128.jpg,1065.0,573.0,9.0,11.0,2.2
129.jpg,1069.0,572.0,10.0,8.0,0.3
130.jpg,1074.0,572.0,10.0,9.0,0.38
131.jpg,1079.0,571.0,10.0,9.0,0.42
132.jpg,1083.0,571.0,10.0,9.0,0.41
133.jpg,1088.0,571.0,10.0,10.0,0.41
134.jpg,1093.0,571.0,10.0,10.0,-0.58
135.jpg,1098.0,571.0,10.0,11.0,0.56
136.jpg,1102.0,570.0,11.0,9.0,2.17
137.jpg,1107.0,570.0,9.0,11.0,0.48
138.jpg,1112.0,571.0,11.0,10.0,1.55
139.jpg,1116.0,571.0,10.0,11.0,-0.31
140.jpg,1121.0,571.0,9.0,10.0,-0.72
141.jpg,1125.0,571.0,9.0,11.0,2.17
142.jpg,1130.0,571.0,10.0,9.0,0.53
143.jpg,1135.0,572.0,11.0,9.0,0.44
144.jpg,1139.0,572.0,10.0,9.0,0.19
145.jpg,1144.0,573.0,10.0,10.0,1.87
146.jpg,1149.0,574.0,10.0,10.0,0.72
147.jpg,1153.0,575.0,10.0,11.0,0.75
148.jpg,1158.0,576.0,11.0,9.0,2.1
149.jpg,1162.0,577.0,9.0,11.0,0.45
150.jpg,1167.0,578.0,11.0,9.0,1.98
151.jpg,1172.0,579.0,10.0,10.0,-0.07
152.jpg,1176.0,580.0,9.0,11.0,-0.5
153.jpg,1181.0,582.0,11.0,9.0,0.73
154.jpg,1186.0,583.0,9.0,11.0,2.06
155.jpg,1190.0,585.0,9.0,11.0,2.15
156.jpg,1194.0,586.0,9.0,11.0,1.98
157.jpg,1198.0,588.0,9.0,10.0,0.46
158.jpg,1198.0,589.0,5.0,8.0,0.18
