id,x,y,r1,r2,theta,r,Region,time,vx,vy,v,angle
../../data/extracted_images/h24/007.jpg,745.9126488939309,502.220646625071,51.968235961429386,87.28228398563058,27.904528744972296,69.48893930799775,I,7,0.4160926991329786,-3.128595737784605,3.156143916990441,82.42431200550061
../../data/extracted_images/h24/008.jpg,746.2117602571375,496.6137266023823,56.25089809037626,95.99602949517868,26.723080888345955,75.97145017961809,I,8,0.3949706938929824,-3.8743213677983914,3.8944021248470864,84.17904738134847
../../data/extracted_images/h24/009.jpg,746.4335413121573,490.0529400642844,62.53488372093024,100.6543770088864,28.751669973545383,81.42881452070336,I,9,0.3632336655592293,-4.646517029954347,4.660692996266903,85.530089176706
../../data/extracted_images/h24/010.jpg,746.6451124976368,482.446209113254,68.29362828512006,103.47929665343167,30.434361112090873,85.6893552656457,I,10,0.3320638522000081,-5.458201658428542,5.468293311995068,86.51855363296023
../../data/extracted_images/h24/011.jpg,746.8046889771224,473.8046889771224,73.63679334467764,104.19644545282665,31.798020163916703,88.6903006239365,I,11,0.2970855954406651,-6.300029711260582,6.307030538516872,87.30014758365704
../../data/extracted_images/h24/012.jpg,746.9635091699755,463.93193420306307,77.26980525619211,103.62488183021365,29.915460027069766,90.22896577802987,I,12,0.2660508332658245,-7.201415336412489,7.206328183853303,87.88421308373849
../../data/extracted_images/h24/013.jpg,747.0642843637739,452.80412176214793,72.63376819814712,108.24446965399889,26.26289470689091,90.2115711854793,I,13,0.212327472111919,-7.7265483618291375,7.729465217147818,88.42589387450109
../../data/extracted_images/h24/014.jpg,747.1055019852524,440.5002836074873,65.88296464359993,111.61183588580073,22.507307480270494,88.51332955190018,I,14,0.17040758447451157,-8.817194716797676,8.818841274156785,88.89279750227577
../../data/extracted_images/h24/015.jpg,747.1576857629043,436.8561164681415,66.73908111174136,114.99451692191342,21.451414186804783,90.62904140669315,I,15,0.13513221510954412,-8.536801447748685,8.53787090988406,89.09311946995712
../../data/extracted_images/h24/016.jpg,747.2138400453773,433.81281905842314,67.67876725278882,117.78445830969937,23.587033391419844,92.47362450368692,I,16,0.11147124760285416,-8.034303000837326,8.035076262756055,89.20510562633939
../../data/extracted_images/h24/017.jpg,747.2348269994328,432.200415957648,68.05955757231992,119.48912837965588,22.09922806747832,93.4991491775383,I,17,0.08424492882800548,-7.177970450800858,7.178464808063317,89.32757354070851
../../data/extracted_images/h24/018.jpg,747.2206466250709,432.08867460767635,67.74191718661373,120.24806201550388,24.70294154941618,93.70561542824733,I,18,0.05942252113550239,-5.959430624206577,5.959726872999239,89.42871273193892
../../data/extracted_images/h24/019.jpg,744.1325392323691,434.92682926829275,63.48629230478352,119.57988277557196,28.491569450552554,91.23255813953489,I,19,-0.40442427680090987,-4.143586419252903,4.163276042911763,-84.42544706321809
../../data/extracted_images/h24/020.jpg,741.7069389298545,439.10247683872194,59.25392323690679,117.77141236528645,31.759562985381734,88.21951219512196,I,20,-0.7653350619884967,-1.9573778462037126,2.101681657606123,-68.64449339147893
../../data/extracted_images/h24/021.jpg,740.1393458120629,444.19965967101535,57.68651919077331,112.29835507657404,31.504012325764865,84.69030062393648,I,21,-0.9951651675985106,0.5284822947897234,1.1267862471239094,27.970529207546303
../../data/extracted_images/h24/022.jpg,739.19814709775,450.3635847986387,53.38476082435243,108.8430705237285,34.143366404147805,80.82151635469845,I,22,-1.1370769521648916,1.929638332928172,2.239742862707774,59.49045355381623
../../data/extracted_images/h24/023.jpg,738.7543959160523,457.62166761202496,49.204008319152976,105.04613348459067,36.346691909000484,76.8417470221214,I,23,-1.208492018474999,3.401264079085974,3.6095775783875785,70.43953176234692
../../data/extracted_images/h24/024.jpg,738.9194554736246,466.03195311022876,47.64605785592741,97.71450179618077,35.17174385719695,72.39005483078088,I,24,-1.1879102179726064,4.833076736082968,4.976922886968425,76.19113749920248
../../data/extracted_images/h24/025.jpg,739.5865002836075,475.613348459066,42.94913972395539,92.83096993760637,36.99147254742337,67.61202495745889,I,25,-1.0905923344947723,6.2178105501985215,6.312729970323362,80.05162273312568
../../data/extracted_images/h24/026.jpg,740.7266023823029,486.3847608243525,35.73908111174137,84.28417470221216,35.432711020832826,62.27264133106449,I,26,-0.4865624071523241,7.351133079437107,7.367217963902544,86.21318671746289
../../data/extracted_images/h24/027.jpg,742.3724711665723,498.3650973719041,31.695972773681234,78.07317073170734,36.868409576111475,56.52561920968048,II,27,0.09507603381682982,8.466088647597449,8.466622493130583,-89.35658286754025
../../data/extracted_images/h24/028.jpg,744.3548875023636,511.5422575155985,27.569672906031393,70.42768009075441,37.64361963131212,50.050671204386475,II,28,0.6022202414715301,9.620371120654738,9.63920171582511,-86.41804730777739
../../data/extracted_images/h24/029.jpg,746.7530724144451,525.9429003592362,21.024768387218757,59.67933446776329,35.17271882792036,43.125165437700886,II,29,1.0792750452421518,10.797045080085354,10.850853288321513,-84.29166330136513
../../data/extracted_images/h24/030.jpg,749.7555303460013,531.8332387975042,26.577802987332195,52.46152391756476,38.42587114173746,41.2698052561921,II,30,1.5715906328498477,10.601653026497038,10.717506426939766,-81.5678729498385
../../data/extracted_images/h24/031.jpg,753.2333144261676,537.2716959727737,33.901115522783144,44.13159387407828,41.86069300035214,39.71733787105313,II,31,2.0448369932204287,10.17710612322071,10.380503233087461,-78.6391058869062
../../data/extracted_images/h24/032.jpg,754.0035923615051,540.698052561921,31.57534505577615,42.55813953488372,40.50732530616243,36.75553034600114,III,32,2.059584582556795,9.297814871836433,9.523195369394056,-77.50993469699925
