id,x,y,r1,r2,theta,r,vx,vy,v,angle
../../data/extracted_images/h4/007.jpg,869.0724144450749,468.91718661372664,12.216487048591418,8.354887502363397,109.08828261277063,10.0,0.0103449207249631,0.0026470032142193694,0.010678202602585266,-14.352597317886673
../../data/extracted_images/h4/008.jpg,869.075061448289,468.9228587634714,12.195311022877672,8.434864813764417,108.03358095018912,10.0,0.010723064041274353,0.003403289846858115,0.011250177074828583,-17.6084155691918
../../data/extracted_images/h4/009.jpg,869.071469086784,468.9292871998488,12.151446398184913,8.525241066364153,106.49551046895118,10.0,0.010209869540549985,0.00415957647948062,0.011024677433997728,-22.166345822069427
../../data/extracted_images/h4/010.jpg,869.0620155038761,468.93647192285886,12.086405747778409,8.62412554358102,104.51675322072664,10.0,0.004429678848282492,0.0049158631121274865,0.006617232415148877,-47.97802065200256
../../data/extracted_images/h4/011.jpg,869.0470788428815,468.94441293250145,12.001701644923429,8.72962752883343,102.14378280999857,10.0,0.0034032898468337536,0.005672149744749991,0.006614806460390894,-59.03624346804711
../../data/extracted_images/h4/012.jpg,869.0270372471168,468.9531102287768,11.898846662885234,8.8398563055398,99.43726408177992,10.0,-0.002836074872366875,0.006428436377388737,0.007026244725299967,66.1940564816207
../../data/extracted_images/h4/013.jpg,869.0022688598981,468.9625638116847,11.7793533749291,8.95292115711855,96.34238201539827,10.0,-0.008697296275288733,0.007184723010019363,0.011281099557705045,39.55966796898759
../../data/extracted_images/h4/014.jpg,868.9731518245416,468.97277368122525,11.644734354320288,9.106069200226887,92.95511706207051,10.0,-0.01418037436189934,0.007941009642658108,0.01625246600329935,29.248826336529987
../../data/extracted_images/h4/015.jpg,868.9400642843639,468.9837398373984,11.49650217432407,9.266780109661562,89.286410559915,10.0,-0.019285309132166212,0.008697296275280613,0.021155758337228745,24.274441134414694
../../data/extracted_images/h4/016.jpg,868.9033843826812,468.99546228020426,11.336169408205713,9.43354131215731,85.36475332007176,10.0,-0.02401210058610559,0.00945358290792748,0.025806030387378665,21.489598798623575
../../data/extracted_images/h4/017.jpg,868.8634902628097,469.0079410096427,11.16524862923048,9.604840234448856,81.25016020707139,10.0,-0.028360748723766198,0.010209869540549985,0.030142553047272827,19.798876354514476
../../data/extracted_images/h4/018.jpg,868.820760068066,469.0211760257138,10.985252410663643,9.77916430327094,77.03438679899593,10.0,-0.03233125354508307,0.01096615617319685,0.03414039450579607,18.735974667035514
../../data/extracted_images/h4/019.jpg,868.775571941766,468.99602949517873,10.797693325770467,9.955000945358291,72.75545695405881,10.0,-0.03592361505012117,0.00613132377170749,0.03644309604661489,9.685723652282135
../../data/extracted_images/h4/020.jpg,868.7283040272265,469.002268859898,10.604083947816225,10.130837587445642,68.36678873769657,10.0,-0.039137833238799304,0.0056721497447581115,0.03954672266263063,8.24632081447511
../../data/extracted_images/h4/021.jpg,868.6483267158254,469.0088863679335,10.405936850066176,10.305161656267726,64.07475095303346,10.0,-0.04640358695944867,0.005158955244033743,0.04668948170533764,6.343852116406468
../../data/extracted_images/h4/022.jpg,868.6057855927397,469.0158820192854,10.204764605785593,10.476460578559275,59.650875460547645,10.0,-0.047754098803449906,0.004591740269574984,0.04797434763738734,5.4923245571422905
../../data/extracted_images/h4/023.jpg,868.561920968047,469.02325581395354,10.002079788239744,10.64322178105502,55.17023500594262,10.0,-0.04878048780488241,0.003970504821324994,0.04894181135816743,4.6533515872653
../../data/extracted_images/h4/024.jpg,868.4861032331255,469.0310077519381,9.675363962941958,10.896955946303649,48.26375906138401,10.0,-0.053912432812028656,0.0032952488993406143,0.054013045433673794,3.4976952610389493
../../data/extracted_images/h4/025.jpg,868.417470221214,469.00000000000006,9.38116846284742,11.119871431272454,41.981047719654526,10.0,-0.057612835264568014,-0.003025146530538742,0.05769220310192256,-3.005738145292181
../../data/extracted_images/h4/026.jpg,868.3560219323124,469.00000000000006,9.119493287956137,11.311590092645115,36.422631295346996,10.0,-0.05993571563622676,0.0005672149744749991,0.05993839955866277,0.5422151649460354
../../data/extracted_images/h4/027.jpg,868.3017583664209,468.9689922480621,8.890338438268106,11.471733787105315,31.67376556172062,10.0,-0.06093509440079613,-0.004753801690843115,0.06112024509235707,-4.460848258517364
../../data/extracted_images/h4/028.jpg,868.2546795235396,468.9767441860466,8.693703913783326,11.599924371336737,27.556789186951896,10.0,-0.0562353131836874,-0.004591740269558743,0.0564224647420732,-4.667974182445387
../../data/extracted_images/h4/029.jpg,868.2147854036682,468.98411798071476,8.529589714501798,11.695783702023068,24.268646257171998,10.0,-0.055857169867359904,-0.004537719795808114,0.0560411841999825,-4.644390320555617
../../data/extracted_images/h4/030.jpg,868.1820760068067,468.9601058801286,8.39799584042352,11.758933635847988,21.65496640783916,10.0,-0.054263565891476774,-0.009021419117849356,0.055008368328451074,-9.43919669285204
../../data/extracted_images/h4/031.jpg,868.1565513329554,468.9434675742107,8.298922291548497,11.828133862733978,19.806530246311986,10.0,-0.04707884288144929,-0.012505739675345597,0.04871150759198181,-14.876161773381138
../../data/extracted_images/h4/032.jpg,868.1382113821139,468.9338249196446,8.232369067876725,11.872376630743052,18.724637733555028,10.0,-0.039894119871438045,-0.009453582907919358,0.04099891498702829,-13.331297414370315
../../data/extracted_images/h4/033.jpg,868.1270561542826,468.9307997731141,8.29135942522216,11.79863868406126,21.2216460863184,10.0,-0.032709396861394326,-0.009885746697997482,0.034170639894698505,-16.81636899868791
