id,x,y,r1,r2,theta,vx,vy,v,angle,Region,time
../../data/extracted_images/h8_short/007.jpg,870.0,432.0,11.0,10.0,91.67324722093171,0.14285714285714285,0.2857142857142857,0.3194382824999699,-63.43494882292201,I,7
../../data/extracted_images/h8_short/008.jpg,870.0,432.0,10.0,11.0,-10.886198107485642,0.14285714285714285,0.2857142857142857,0.3194382824999699,-63.43494882292201,I,8
../../data/extracted_images/h8_short/009.jpg,870.0,433.0,10.0,11.0,-36.66929888837269,0.14285714285714285,0.42857142857142855,0.4517539514526256,-71.56505117707799,I,9
../../data/extracted_images/h8_short/010.jpg,870.0,433.0,10.0,11.0,118.0293057969496,0.14285714285714285,0.42857142857142855,0.4517539514526256,-71.56505117707799,I,10
../../data/extracted_images/h8_short/011.jpg,869.0,433.0,9.0,10.0,91.67324722093171,0.0,0.2857142857142857,0.2857142857142857,90.0,I,11
../../data/extracted_images/h8_short/012.jpg,870.0,434.0,9.0,11.0,101.41352973815572,0.14285714285714285,0.42857142857142855,0.4517539514526256,-71.56505117707799,I,12
../../data/extracted_images/h8_short/013.jpg,869.0,434.0,11.0,9.0,5.729577951308232,0.0,0.2857142857142857,0.2857142857142857,90.0,I,13
../../data/extracted_images/h8_short/014.jpg,869.0,435.0,9.0,10.0,87.66254265501594,-0.14285714285714285,0.42857142857142855,0.4517539514526256,71.56505117707799,I,14
../../data/extracted_images/h8_short/015.jpg,870.0,436.0,9.0,11.0,107.14310768946396,0.0,0.5714285714285714,0.5714285714285714,90.0,I,15
../../data/extracted_images/h8_short/016.jpg,870.0,437.0,10.0,11.0,121.46705256773453,0.0,0.5714285714285714,0.5714285714285714,90.0,I,16
../../data/extracted_images/h8_short/017.jpg,869.0,438.0,10.0,10.0,-24.064227395494573,-0.14285714285714285,0.7142857142857143,0.7284313590846836,78.69006752597979,I,17
../../data/extracted_images/h8_short/018.jpg,870.0,439.0,10.0,11.0,-14.896902673401405,0.14285714285714285,0.8571428571428571,0.8689660757568884,-80.53767779197439,I,18
../../data/extracted_images/h8_short/019.jpg,870.0,440.0,11.0,10.0,76.2033867523995,0.0,0.8571428571428571,0.8571428571428571,90.0,I,19
../../data/extracted_images/h8_short/020.jpg,869.0,441.0,11.0,10.0,93.965078401455,0.0,1.0,1.0,90.0,I,20
../../data/extracted_images/h8_short/021.jpg,869.0,442.0,10.0,11.0,-12.032113697747286,0.0,1.0,1.0,90.0,I,21
../../data/extracted_images/h8_short/022.jpg,870.0,445.0,11.0,10.0,46.9825392007275,0.0,1.2857142857142858,1.2857142857142858,90.0,I,22
../../data/extracted_images/h8_short/023.jpg,870.0,446.0,12.0,10.0,26.35605857601787,0.0,1.2857142857142858,1.2857142857142858,90.0,I,23
../../data/extracted_images/h8_short/024.jpg,870.0,447.0,11.0,9.0,16.04281826366305,0.14285714285714285,1.2857142857142858,1.2936264483053455,-83.6598082540901,I,24
../../data/extracted_images/h8_short/025.jpg,869.0,448.0,9.0,10.0,88.23550045014677,-0.14285714285714285,1.2857142857142858,1.2936264483053455,83.6598082540901,I,25
../../data/extracted_images/h8_short/026.jpg,869.0,450.0,9.0,10.0,95.68395178684747,-0.14285714285714285,1.4285714285714286,1.4356965173029843,84.28940686250037,I,26
../../data/extracted_images/h8_short/027.jpg,869.0,452.0,9.0,10.0,89.38141604040842,0.0,1.5714285714285714,1.5714285714285714,90.0,I,27
../../data/extracted_images/h8_short/028.jpg,869.0,454.0,9.0,10.0,104.27831871380984,0.0,1.7142857142857142,1.7142857142857142,90.0,I,28
../../data/extracted_images/h8_short/029.jpg,870.0,457.0,11.0,10.0,33.231552117587746,0.0,1.7142857142857142,1.7142857142857142,90.0,I,29
../../data/extracted_images/h8_short/030.jpg,870.0,459.0,10.0,12.0,-44.69070802020421,0.0,1.8571428571428572,1.8571428571428572,90.0,I,30
../../data/extracted_images/h8_short/031.jpg,869.0,460.0,10.0,11.0,4.583662361046586,-0.14285714285714285,1.8571428571428572,1.8626292586293283,85.60129464500447,I,31
../../data/extracted_images/h8_short/032.jpg,869.0,463.0,10.0,11.0,-17.188733853924695,0.0,2.142857142857143,2.142857142857143,90.0,I,32
../../data/extracted_images/h8_short/033.jpg,868.0,465.0,9.0,11.0,-0.0,-0.14285714285714285,2.142857142857143,2.147613768338987,86.18592516570965,I,33
../../data/extracted_images/h8_short/034.jpg,868.0,468.0,10.0,10.0,79.0681757280536,-0.14285714285714285,2.2857142857142856,2.2901742202687707,86.42366562500266,I,34
../../data/extracted_images/h8_short/035.jpg,869.0,470.0,10.0,10.0,20.05352282957881,0.0,2.2857142857142856,2.2857142857142856,90.0,I,35
../../data/extracted_images/h8_short/036.jpg,868.0,473.0,11.0,9.0,8.021409131831525,-0.2857142857142857,2.2857142857142856,2.3035022137995855,82.87498365109819,I,36
../../data/extracted_images/h8_short/037.jpg,868.0,476.0,11.0,9.0,12.032113697747286,-0.2857142857142857,2.4285714285714284,2.44532039551767,83.29016319224307,I,37
../../data/extracted_images/h8_short/038.jpg,868.0,479.0,9.0,11.0,102.55944532841735,-0.14285714285714285,2.7142857142857144,2.7180425129200643,86.98721249581665,I,38
../../data/extracted_images/h8_short/039.jpg,868.0,481.0,9.0,10.0,88.8084582452776,-0.14285714285714285,2.5714285714285716,2.575393768188564,86.82016988013577,I,39
../../data/extracted_images/h8_short/040.jpg,868.0,484.0,10.0,9.0,8.594366926962348,0.0,2.7142857142857144,2.7142857142857144,90.0,I,40
