id,x,y,r1,r2,theta,r,Region,time,vx,vy,v,angle
../../data/extracted_images/theta2_pass/000.jpg,950.0960484023446,354.0,7.7867271695972775,7.810550198525242,53.514951377733325,7.776895443373039,O,0,0.0,0.0,0.0,0.0
../../data/extracted_images/theta2_pass/001.jpg,950.1130648515789,357.5076574021555,7.840045377197959,7.813386273397619,53.92032253851599,7.778786159954624,I,1,0.0,0.0,0.0,0.0
../../data/extracted_images/theta2_pass/002.jpg,950.1242200794102,361.03119682359613,7.85800718472301,7.850255246738515,54.78674652139676,7.784458309699376,I,2,0.0,0.0,0.0,0.0
../../data/extracted_images/theta2_pass/003.jpg,950.0903762525998,364.55549253166953,7.910380034032899,7.811495556816034,55.96071960247687,7.7547740593685015,I,3,0.0,0.0,0.0,0.0
../../data/extracted_images/theta2_pass/004.jpg,950.0813008130083,368.09604840234454,7.927018339950841,7.875401777273588,58.6466556154233,7.720363017583666,I,4,0.0,0.0,0.0,0.0
../../data/extracted_images/theta2_pass/005.jpg,950.0659860086973,371.659860086973,7.9385517110985075,7.909812819058423,60.74869249512051,7.7199848742673485,I,5,0.0,0.0,0.0,0.0
../../data/extracted_images/theta2_pass/006.jpg,950.0835696729062,375.2926829268293,7.983739837398375,7.914350538854226,59.122982978854985,7.722631877481566,I,6,0.0,0.0,0.0,0.0
../../data/extracted_images/theta2_pass/007.jpg,950.095292115712,378.93911892607304,7.992437133673664,7.958404235205142,56.27184359332878,7.72830402722632,I,7,-0.00010804094751750069,3.5627312751532907,3.5627312767914785,89.99826248744927
../../data/extracted_images/theta2_pass/008.jpg,950.1015314804313,382.6441671393459,8.034411041784837,8.00245793155606,54.50422167176522,7.737001323501609,I,8,-0.0016476244496581266,3.5909299624557725,3.590930340445069,89.97371101036491
../../data/extracted_images/theta2_pass/009.jpg,950.1026659103801,386.4214407260352,8.039515976555116,8.04613348459066,51.575301288526035,7.748723766307432,I,9,-0.0030791670042974928,3.627177700348438,3.6271790073243455,89.95136074216464
../../data/extracted_images/theta2_pass/010.jpg,950.0990735488751,390.2531669502742,8.046511627906977,8.120060502930611,49.194097791689074,7.763471355643791,I,10,0.00124247089648374,3.6710963455149517,3.6710965557701094,-89.98060842617079
../../data/extracted_images/theta2_pass/011.jpg,950.0519947059936,394.1828322934392,8.12516543770089,8.114955568160333,48.3229072852716,7.7812440915106835,I,11,-0.004186586716384356,3.726683413013526,3.726685764635714,89.93563347837215
../../data/extracted_images/theta2_pass/012.jpg,950.0315749669126,398.18339950841374,8.197579882775571,8.147475893363584,47.65646063077267,7.802041973908112,I,12,-0.004915863112111245,3.7890770602058166,3.7890802490694346,89.92566578972006
../../data/extracted_images/theta2_pass/013.jpg,950.0071847230101,402.2662128946871,8.193987521270563,8.186235583286066,44.30635289501531,7.825865002836076,I,13,-0.010912135699429979,3.853361423979688,3.85337687470617,89.83774746747575
../../data/extracted_images/theta2_pass/014.jpg,950.0102098695407,406.4418604651163,8.184155795046323,8.222726413310646,44.21817220958583,7.852713178294575,I,14,-0.012154606595897479,3.9289630770061796,3.9289818776547403,89.82275083162192
../../data/extracted_images/theta2_pass/015.jpg,949.97126110796,410.75931177916436,8.206844394025337,8.178294573643411,38.6105739287857,7.843448667044811,I,15,-0.01861005321018183,4.016449234259783,4.016492348488478,89.73452424946807
../../data/extracted_images/theta2_pass/016.jpg,949.9298544148234,415.15787483456234,8.121762147854037,8.231234637927775,38.02483318417001,7.828701077708454,I,16,-0.02468735650810621,4.105204872646733,4.105279102810653,89.65544611577772
../../data/extracted_images/theta2_pass/017.jpg,949.886367933447,419.67687653620726,8.099073548875024,8.249385517110985,39.8835607033333,7.808092266969183,I,17,-0.030386516489735577,4.203387083704724,4.20349691516957,89.58581287253885
../../data/extracted_images/theta2_pass/018.jpg,949.8330497258462,424.24560408394785,8.107392701833996,8.302514653053507,40.13347819877039,7.820381924749481,I,18,-0.0312778543067712,4.294681684358376,4.294795580016974,89.58272638300787
../../data/extracted_images/theta2_pass/019.jpg,949.7621478540368,428.9941387785972,8.169597277368123,8.382491964454529,37.681426829364796,7.896577802987333,I,19,-0.038489587553678054,4.401534181454776,4.401702465963007,89.49898498512681
../../data/extracted_images/theta2_pass/020.jpg,949.581017205521,433.9351484212517,8.231045566269618,8.636604273019476,38.56550861534753,8.083191529589715,I,20,-0.060881073927021134,4.524133646652087,4.524543265118814,89.22901967033214
../../data/extracted_images/theta2_pass/021.jpg,949.7474002647004,438.38324825108725,8.3157496691246,8.83267158252978,37.81402284775015,8.256948383437324,I,21,-0.03754422926289992,4.563055397995852,4.563209849911575,89.52858837906068
../../data/extracted_images/theta2_pass/022.jpg,949.594252221592,443.0026470032143,8.169408205709964,8.818302136509738,40.80479970688643,8.195311022877672,I,22,-0.053858412338286143,4.606190746292847,4.606505608355802,89.33009307045936
../../data/extracted_images/theta2_pass/023.jpg,949.4823217999623,447.8612214029117,8.166761202495746,8.696918131972017,40.0513639978422,8.133484590659862,I,23,-0.06393323069443925,4.671906652621341,4.672344082876878,89.2159784160974
../../data/extracted_images/theta2_pass/024.jpg,949.3503497825677,452.90905653242584,8.067498581962564,8.647570429192665,42.68638487300994,8.040839478162225,I,24,-0.07657402155418172,4.747454285174082,4.74807179501266,89.07592836539844
../../data/extracted_images/theta2_pass/025.jpg,949.1758366420875,458.157496691246,8.020041595764795,8.561353753072414,45.12272838076041,7.9565135186235585,I,25,-0.09388758339410483,4.8445560867568815,4.845465772869388,88.88974575520552
